k_star,model,stage,params,roc_auc_mean,pr_auc_mean,brier_mean,sens_mean,spec_mean,roc_auc_std,pr_auc_std,brier_std,sens_std,spec_std,calibrator
10,svm_rbf,param_search,"{""C"": 0.1, ""gamma"": 0.1, ""class_weight"": {""0"": 1, ""1"": 8}}",0.43745429517787243,0.20901547856889283,0.27903454099618974,0.8888888888888888,0.26837606837606837,0.03583415554012098,0.0702772761842451,0.009877407555579155,0.15713484026367724,0.19290884198601527,
10,svm_rbf,param_search,"{""C"": 0.1, ""gamma"": 0.1, ""class_weight"": {""0"": 1, ""1"": 12}}",0.4330451241020346,0.19802807575142467,0.2790452764049832,0.8888888888888888,0.26837606837606837,0.025497222010095633,0.0515266848290955,0.009969778374794378,0.15713484026367724,0.19290884198601527,
10,svm_rbf,param_search,"{""C"": 0.1, ""gamma"": 0.01, ""class_weight"": ""balanced""}",0.38813610358325806,0.15377459167845606,0.24431466651699316,0.3333333333333333,0.6666666666666666,0.06438019606094869,0.01812481687408086,0.004701631874225779,0.4714045207910317,0.4714045207910317,
10,svm_rbf,param_search,"{""C"": 0.1, ""gamma"": 0.01, ""class_weight"": {""0"": 1, ""1"": 2}}",0.5207983825870005,0.23208043632721065,0.2431235565009674,0.3333333333333333,0.5004273504273504,0.1275128212644248,0.07219373772624339,0.018154871470812326,0.23570226039551584,0.1417245050873193,
10,svm_rbf,param_search,"{""C"": 0.1, ""gamma"": 0.01, ""class_weight"": {""0"": 1, ""1"": 3}}",0.45384350668903517,0.2349488216325605,0.25943149932694126,0.611111111111111,0.3927350427350427,0.08054894373205117,0.10236161710805909,0.0035839566523985693,0.28327886186626583,0.06808431345058745,
10,svm_rbf,param_search,"{""C"": 0.1, ""gamma"": 0.01, ""class_weight"": {""0"": 1, ""1"": 5}}",0.470426291564503,0.20231178720678186,0.26106471684430926,0.4444444444444444,0.4273504273504274,0.02127379091088422,0.0367743018121523,0.013068642481305327,0.41573970964154905,0.19025495119275274,
10,svm_rbf,param_search,"{""C"": 0.1, ""gamma"": 0.01, ""class_weight"": {""0"": 1, ""1"": 8}}",0.4783627995010109,0.22857661412520355,0.259149776375266,0.5,0.49401709401709404,0.028948469945271182,0.07363729774433557,0.01405962509976727,0.408248290463863,0.2340351363125958,
10,svm_rbf,param_search,"{""C"": 0.1, ""gamma"": 0.01, ""class_weight"": {""0"": 1, ""1"": 12}}",0.4580806125521573,0.18901432456291398,0.2604738693095334,0.5,0.49401709401709404,0.01880946575663282,0.01854393583426992,0.014898605027253493,0.408248290463863,0.2340351363125958,
10,svm_rbf,param_search,"{""C"": 1.0, ""gamma"": ""scale"", ""class_weight"": ""balanced""}",0.6023357852626144,0.23729448852095844,0.22372455542053027,0.3611111111111111,0.6705128205128205,0.07675136204131935,0.03863198797247371,0.014383011891003359,0.10393492741038726,0.14917039927894135,
10,svm_rbf,param_search,"{""C"": 1.0, ""gamma"": ""scale"", ""class_weight"": {""0"": 1, ""1"": 2}}",0.45674710715361116,0.17867117609106012,0.24305244785363564,0.5,0.5850427350427351,0.1306011129726833,0.03917051276977317,0.02048248545361047,0.408248290463863,0.1599238715083173,
10,svm_rbf,param_search,"{""C"": 1.0, ""gamma"": ""scale"", ""class_weight"": {""0"": 1, ""1"": 3}}",0.41284896975953883,0.16980191554408094,0.25915110911229466,0.8333333333333334,0.4106837606837607,0.03474034568751002,0.005162178284714747,0.01139137169409521,0.23570226039551584,0.16963282121011927,
10,svm_rbf,param_search,"{""C"": 1.0, ""gamma"": ""scale"", ""class_weight"": {""0"": 1, ""1"": 5}}",0.42515163246870563,0.1975145008073896,0.27322652945237225,0.8888888888888888,0.32735042735042735,0.02359113839453973,0.04485531485705141,0.0032697123608528018,0.15713484026367724,0.20412503992269587,
10,svm_rbf,param_search,"{""C"": 1.0, ""gamma"": ""scale"", ""class_weight"": {""0"": 1, ""1"": 8}}",0.39516926915300904,0.15712535590211565,0.27896494904074315,0.8888888888888888,0.32735042735042735,0.05424521275656752,0.012679548930589665,0.0025883748046565437,0.15713484026367724,0.20412503992269587,
10,svm_rbf,param_search,"{""C"": 1.0, ""gamma"": ""scale"", ""class_weight"": {""0"": 1, ""1"": 12}}",0.4207424613928679,0.19371483279203527,0.2807366871081765,0.8888888888888888,0.35512820512820514,0.026113429403959602,0.03949413277688022,0.004374340213203377,0.15713484026367724,0.18515767930724109,
10,svm_rbf,param_search,"{""C"": 1.0, ""gamma"": 0.1, ""class_weight"": ""balanced""}",0.6142728093947606,0.26704069659388313,0.2270558731531506,0.3611111111111111,0.6705128205128205,0.0367837310729115,0.06359315722433187,0.015066448383481031,0.10393492741038726,0.14917039927894135,
10,svm_rbf,param_search,"{""C"": 1.0, ""gamma"": 0.1, ""class_weight"": {""0"": 1, ""1"": 2}}",0.46913580246913583,0.1945633222134222,0.23946571960631022,0.3333333333333333,0.5773504273504274,0.10427293413953403,0.029433685707271087,0.021262058156689738,0.23570226039551584,0.11875575505776388,
10,svm_rbf,param_search,"{""C"": 1.0, ""gamma"": 0.1, ""class_weight"": {""0"": 1, ""1"": 3}}",0.44085258312900594,0.20673238320701903,0.25799241933479317,0.8333333333333334,0.35170940170940174,0.0444252107627923,0.059867388662373074,0.0055722339646069605,0.23570226039551584,0.18480027936588014,
10,svm_rbf,param_search,"{""C"": 1.0, ""gamma"": 0.1, ""class_weight"": {""0"": 1, ""1"": 5}}",0.446229621026369,0.20911222882904182,0.2723586486419018,0.8888888888888888,0.26837606837606837,0.038629741992812626,0.06276912058509021,0.004470766618995195,0.15713484026367724,0.19290884198601527,
10,svm_rbf,param_search,"{""C"": 1.0, ""gamma"": 0.1, ""class_weight"": {""0"": 1, ""1"": 8}}",0.4595001505570611,0.2262458274985882,0.2779136169857197,0.8888888888888888,0.26837606837606837,0.04635815523022804,0.08300433129539765,0.008404436099712243,0.15713484026367724,0.19290884198601527,
10,svm_rbf,param_search,"{""C"": 1.0, ""gamma"": 0.1, ""class_weight"": {""0"": 1, ""1"": 12}}",0.44534778681120146,0.21831097005392683,0.2794211030608196,0.8888888888888888,0.26837606837606837,0.03802153343431606,0.07569200017654887,0.009337369928950722,0.15713484026367724,0.19290884198601527,
10,svm_rbf,param_search,"{""C"": 1.0, ""gamma"": 0.01, ""class_weight"": ""balanced""}",0.5615133135458339,0.21263299337573469,0.2358808562632931,0.3333333333333333,0.48333333333333334,0.04401612613101825,0.025630637451309397,0.013996756428996632,0.4714045207910317,0.3423773097362356,
10,svm_rbf,param_search,"{""C"": 1.0, ""gamma"": 0.01, ""class_weight"": {""0"": 1, ""1"": 2}}",0.5216587086505785,0.23492943917621345,0.24210605843740077,0.3333333333333333,0.5004273504273504,0.12968176579614263,0.0762733215974875,0.018921398587309297,0.23570226039551584,0.1417245050873193,
10,svm_rbf,param_search,"{""C"": 1.0, ""gamma"": 0.01, ""class_weight"": {""0"": 1, ""1"": 3}}",0.4026110896029595,0.1999835756497351,0.26256422475051827,0.8333333333333334,0.31837606837606836,0.06489634160102557,0.07752611992252348,0.007295085442989226,0.23570226039551584,0.2305514958887848,
10,svm_rbf,param_search,"{""C"": 1.0, ""gamma"": 0.01, ""class_weight"": {""0"": 1, ""1"": 5}}",0.43444315395534905,0.20532186951649045,0.2671808451917547,1.0,0.235042735042735,0.060945069636689136,0.0517782539243278,0.011410590620104931,0.0,0.22508024072245628,
10,svm_rbf,param_search,"{""C"": 1.0, ""gamma"": 0.01, ""class_weight"": {""0"": 1, ""1"": 8}}",0.4309158170946789,0.20376215472148154,0.2676322102861501,1.0,0.235042735042735,0.05979393023142433,0.04977502103993274,0.012010553177018444,0.0,0.22508024072245628,
10,svm_rbf,param_search,"{""C"": 1.0, ""gamma"": 0.01, ""class_weight"": {""0"": 1, ""1"": 12}}",0.43267948552501395,0.20435358096650255,0.2685702215842898,1.0,0.235042735042735,0.06032069918449505,0.05053263875576771,0.01306318240053268,0.0,0.22508024072245628,
10,svm_rbf,param_search,"{""C"": 10.0, ""gamma"": ""scale"", ""class_weight"": ""balanced""}",0.5513184496924334,0.2201814944906134,0.2144643703537734,0.3611111111111111,0.7551282051282051,0.10066683964356252,0.0387304088705922,0.003896781118419045,0.10393492741038726,0.11625031370801697,
10,svm_rbf,param_search,"{""C"": 10.0, ""gamma"": ""scale"", ""class_weight"": {""0"": 1, ""1"": 2}}",0.4160536843463672,0.19415221047742626,0.2681750905469877,0.611111111111111,0.4773504273504274,0.04254372189248232,0.02857738392047357,0.008168751889681433,0.28327886186626583,0.09784178468029438,
10,svm_rbf,param_search,"{""C"": 10.0, ""gamma"": ""scale"", ""class_weight"": {""0"": 1, ""1"": 3}}",0.407385899255818,0.17805725941807338,0.2655932215147882,0.8333333333333334,0.4106837606837607,0.026295402048489628,0.02727131356793474,0.022606970260635777,0.23570226039551584,0.16963282121011927,
10,svm_rbf,param_search,"{""C"": 10.0, ""gamma"": ""scale"", ""class_weight"": {""0"": 1, ""1"": 5}}",0.410095926356089,0.17897005193940277,0.28472461191166754,1.0,0.35512820512820514,0.024314468329679137,0.026592252237945896,0.007747930713477388,0.0,0.18515767930724109,
