model_name,logreg_c,dtree_max_depth,dtree_min_leaf,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,xgb_gamma,cb_iterations,cb_depth,cb_learning_rate,cb_l2_leaf_reg,threshold,tp,fp,fn,tn,sens,spec
xgboost,0.0,0,0,50,3,0.03,2.0,0.85,0.8,1.0,0.0,0,0,0.0,0.0,0.3482140302658081,29,21,5,136,0.8529411764705882,0.8662420382165605
xgboost,0.0,0,0,50,3,0.03,2.0,0.85,0.8,1.0,0.2,0,0,0.0,0.0,0.3482140302658081,29,21,5,136,0.8529411764705882,0.8662420382165605
xgboost,0.0,0,0,50,4,0.03,2.0,0.85,0.8,1.0,0.0,0,0,0.0,0.0,0.3482140302658081,29,21,5,136,0.8529411764705882,0.8662420382165605
xgboost,0.0,0,0,50,4,0.03,2.0,0.85,0.8,1.0,0.2,0,0,0.0,0.0,0.3482140302658081,29,21,5,136,0.8529411764705882,0.8662420382165605
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.9,6.0,0.0,0,0,0.0,0.0,0.4867214858531952,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.9,6.0,0.0,0,0,0.0,0.0,0.4867214858531952,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,30,3,0.02,2.0,0.9,0.8,6.0,0.0,0,0,0.0,0.0,0.4866448640823364,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,30,3,0.02,2.0,0.9,0.8,6.0,0.2,0,0,0.0,0.0,0.4866448640823364,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,30,4,0.02,2.0,0.9,0.8,6.0,0.0,0,0,0.0,0.0,0.4866448640823364,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,30,4,0.02,2.0,0.9,0.8,6.0,0.2,0,0,0.0,0.0,0.4866448640823364,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,30,3,0.02,2.0,0.9,0.9,6.0,0.0,0,0,0.0,0.0,0.4844367802143097,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,30,3,0.02,2.0,0.9,0.9,6.0,0.2,0,0,0.0,0.0,0.4844367802143097,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,30,4,0.02,2.0,0.9,0.9,6.0,0.0,0,0,0.0,0.0,0.4844367802143097,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,30,4,0.02,2.0,0.9,0.9,6.0,0.2,0,0,0.0,0.0,0.4844367802143097,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,30,4,0.02,1.0,0.9,0.8,6.0,0.0,0,0,0.0,0.0,0.4779345691204071,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,30,3,0.02,1.0,0.9,0.8,6.0,0.0,0,0,0.0,0.0,0.47787171602249146,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,30,3,0.03,2.0,0.9,0.8,6.0,0.0,0,0,0.0,0.0,0.46861982345581055,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,30,3,0.03,2.0,0.9,0.8,6.0,0.2,0,0,0.0,0.0,0.46861982345581055,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,30,4,0.03,2.0,0.9,0.8,6.0,0.0,0,0,0.0,0.0,0.46861982345581055,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,30,4,0.03,2.0,0.9,0.8,6.0,0.2,0,0,0.0,0.0,0.46861982345581055,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,30,3,0.02,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.46313199400901794,29,22,5,135,0.8529411764705882,0.8598726114649682
xgboost,0.0,0,0,30,4,0.02,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.46313199400901794,29,22,5,135,0.8529411764705882,0.8598726114649682
