n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma,scale_pos_weight,subgroup_neg_boost,hard_neg_boost,hard_pos_boost,threshold,tp,fp,tn,fn,sens,spec,fnr,fpr,constraint_violation,constraint_feasible
300,2,0.05,6.0,0.8,0.8,4.0,0.0,4.5,0.1,0.0,0.0,0.22704777121543884,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,2,0.05,4.0,0.8,0.8,4.0,0.0,4.0,0.0,0.0,0.0,0.22572846710681915,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.0,1.0,0.0,0.22100017964839935,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
250,2,0.05,4.0,0.8,0.8,6.0,0.0,4.5,0.1,0.0,0.0,0.22084537148475647,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
250,2,0.05,4.0,0.8,0.8,6.0,0.0,4.0,0.0,0.5,0.2,0.21825625002384186,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
250,2,0.05,4.0,0.8,0.8,6.0,0.0,4.0,0.0,0.5,0.0,0.21817336976528168,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,2,0.05,4.0,0.8,0.8,6.0,0.0,4.0,0.1,0.0,0.2,0.21167509257793427,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.2,0.0,0.0,0.2114403396844864,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,4.5,0.1,0.5,0.2,0.2099594622850418,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,2,0.05,4.0,0.8,0.8,6.0,0.0,4.0,0.1,0.0,0.0,0.20754383504390717,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.1,0.5,0.2,0.1981441229581833,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,2,0.05,6.0,0.8,0.8,6.0,0.0,4.5,0.0,1.0,0.2,0.1977119743824005,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,2,0.05,4.0,0.8,0.8,6.0,0.0,4.0,0.0,0.5,0.2,0.1931527853012085,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,2,0.05,6.0,0.8,0.8,4.0,0.0,4.5,0.1,0.5,0.2,0.18820209801197052,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.0,1.0,0.0,0.18814028799533844,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,2,0.05,4.0,0.8,0.8,6.0,0.0,4.0,0.0,0.5,0.0,0.18800996243953705,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,2,0.05,6.0,0.8,0.8,4.0,0.0,4.5,0.1,0.5,0.0,0.18593676388263702,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
250,2,0.05,6.0,0.8,0.8,4.0,0.0,4.5,0.2,0.5,0.0,0.18275445699691772,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.35,0.0,0.2,0.17872382700443268,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,2,0.05,6.0,0.8,0.8,4.0,0.0,4.5,0.0,1.0,0.0,0.17850153148174286,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,2,0.05,6.0,0.8,0.8,4.0,0.0,4.5,0.35,0.0,0.0,0.17175938189029694,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
250,2,0.05,6.0,0.8,0.8,4.0,0.0,4.0,0.1,1.0,0.0,0.1715325117111206,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
