meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,n_splits,n_repeats,target_pos_ratio,use_raw_features,threshold,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_max_fp,meets_target_fn,meets_preserve_fn_max,meets_both
rf,1:3,1.0,200,,2,5,8,0.45,True,0.18542381323365748,28,49,6,108,0.8235294117647058,0.6878980891719745,79.0,6.0,0,False,False,True,False
rf,balanced,1.0,200,8.0,2,5,8,0.45,True,0.18484109854203062,28,49,6,108,0.8235294117647058,0.6878980891719745,79.0,6.0,0,False,False,True,False
rf,balanced,1.0,200,8.0,1,5,8,0.45,True,0.1702386168190423,28,49,6,108,0.8235294117647058,0.6878980891719745,79.0,6.0,0,False,False,True,False
rf,1:5,1.0,200,,1,5,8,0.45,True,0.165625,28,49,6,108,0.8235294117647058,0.6878980891719745,79.0,6.0,0,False,False,True,False
rf,1:3,1.0,200,,1,5,8,0.45,True,0.15875,28,49,6,108,0.8235294117647058,0.6878980891719745,79.0,6.0,0,False,False,True,False
logreg,1:2,0.5,0,,0,5,8,0.45,True,0.13803664437167348,28,49,6,108,0.8235294117647058,0.6878980891719745,79.0,6.0,0,False,False,True,False
logreg,balanced,0.5,0,,0,5,8,0.45,True,0.12481920984432882,28,49,6,108,0.8235294117647058,0.6878980891719745,79.0,6.0,0,False,False,True,False
rf,balanced,1.0,200,3.0,2,5,8,0.45,True,0.2661863880100389,28,50,6,107,0.8235294117647058,0.6815286624203821,80.0,6.142857142857143,0,False,False,True,False
rf,balanced,1.0,200,5.0,4,5,8,0.45,True,0.22806619532276642,28,50,6,107,0.8235294117647058,0.6815286624203821,80.0,6.142857142857143,0,False,False,True,False
rf,1:5,1.0,200,8.0,2,5,8,0.45,True,0.21586350686837852,28,50,6,107,0.8235294117647058,0.6815286624203821,80.0,6.142857142857143,0,False,False,True,False
rf,1:5,1.0,500,8.0,2,5,8,0.45,True,0.2125181437165494,28,50,6,107,0.8235294117647058,0.6815286624203821,80.0,6.142857142857143,0,False,False,True,False
rf,balanced,1.0,200,5.0,2,5,8,0.45,True,0.20692999778147483,28,50,6,107,0.8235294117647058,0.6815286624203821,80.0,6.142857142857143,0,False,False,True,False
rf,balanced,1.0,500,5.0,2,5,8,0.45,True,0.20454271571064714,28,50,6,107,0.8235294117647058,0.6815286624203821,80.0,6.142857142857143,0,False,False,True,False
rf,balanced,1.0,500,,2,5,8,0.45,True,0.18283907034198352,28,50,6,107,0.8235294117647058,0.6815286624203821,80.0,6.142857142857143,0,False,False,True,False
rf,balanced,1.0,500,8.0,2,5,8,0.45,True,0.18158492572432405,28,50,6,107,0.8235294117647058,0.6815286624203821,80.0,6.142857142857143,0,False,False,True,False
rf,1:2,1.0,200,8.0,1,5,8,0.45,True,0.17261019040286268,28,50,6,107,0.8235294117647058,0.6815286624203821,80.0,6.142857142857143,0,False,False,True,False
rf,balanced,1.0,500,8.0,1,5,8,0.45,True,0.1669187959114997,28,50,6,107,0.8235294117647058,0.6815286624203821,80.0,6.142857142857143,0,False,False,True,False
rf,balanced,1.0,500,,1,5,8,0.45,True,0.163,28,50,6,107,0.8235294117647058,0.6815286624203821,80.0,6.142857142857143,0,False,False,True,False
rf,1:8,1.0,200,,1,5,8,0.45,True,0.15750000000000003,28,50,6,107,0.8235294117647058,0.6815286624203821,80.0,6.142857142857143,0,False,False,True,False
logreg,1:3,0.5,0,,0,5,8,0.45,True,0.15500232473293682,28,50,6,107,0.8235294117647058,0.6815286624203821,80.0,6.142857142857143,0,False,False,True,False
rf,balanced,1.0,200,3.0,4,5,8,0.45,True,0.2691414867964564,28,51,6,106,0.8235294117647058,0.6751592356687898,81.0,6.285714285714286,0,False,False,True,False
rf,balanced,1.0,500,3.0,2,5,8,0.45,True,0.26223409291933425,28,51,6,106,0.8235294117647058,0.6751592356687898,81.0,6.285714285714286,0,False,False,True,False
rf,balanced,1.0,500,3.0,1,5,8,0.45,True,0.2585642808810451,28,51,6,106,0.8235294117647058,0.6751592356687898,81.0,6.285714285714286,0,False,False,True,False
rf,1:3,1.0,200,5.0,2,5,8,0.45,True,0.25592733873356416,28,51,6,106,0.8235294117647058,0.6751592356687898,81.0,6.285714285714286,0,False,False,True,False
rf,1:3,1.0,500,8.0,4,5,8,0.45,True,0.251110240081618,28,51,6,106,0.8235294117647058,0.6751592356687898,81.0,6.285714285714286,0,False,False,True,False
rf,1:3,1.0,500,,4,5,8,0.45,True,0.2505531534782257,28,51,6,106,0.8235294117647058,0.6751592356687898,81.0,6.285714285714286,0,False,False,True,False
rf,balanced,1.0,200,5.0,1,5,8,0.45,True,0.1965169168490658,28,51,6,106,0.8235294117647058,0.6751592356687898,81.0,6.285714285714286,0,False,False,True,False
rf,balanced,1.0,500,5.0,1,5,8,0.45,True,0.19362875260089052,28,51,6,106,0.8235294117647058,0.6751592356687898,81.0,6.285714285714286,0,False,False,True,False
rf,1:2,1.0,200,8.0,2,5,8,0.45,True,0.1902846167712835,28,51,6,106,0.8235294117647058,0.6751592356687898,81.0,6.285714285714286,0,False,False,True,False
rf,1:2,1.0,200,,2,5,8,0.45,True,0.1866104174248524,28,51,6,106,0.8235294117647058,0.6751592356687898,81.0,6.285714285714286,0,False,False,True,False
rf,1:3,1.0,500,8.0,1,5,8,0.45,True,0.17501061985371785,28,51,6,106,0.8235294117647058,0.6751592356687898,81.0,6.285714285714286,0,False,False,True,False
rf,balanced,1.0,200,,1,5,8,0.45,True,0.165625,28,51,6,106,0.8235294117647058,0.6751592356687898,81.0,6.285714285714286,0,False,False,True,False
rf,1:2,1.0,200,,1,5,8,0.45,True,0.161875,28,51,6,106,0.8235294117647058,0.6751592356687898,81.0,6.285714285714286,0,False,False,True,False
logreg,1:12,0.5,0,,0,5,8,0.45,True,0.18623503525529644,29,52,5,105,0.8529411764705882,0.6687898089171974,77.0,6.428571428571429,0,False,False,True,False
logreg,1:8,0.5,0,,0,5,8,0.45,True,0.1708918694056654,29,52,5,105,0.8529411764705882,0.6687898089171974,77.0,6.428571428571429,0,False,False,True,False
logreg,1:5,0.5,0,,0,5,8,0.45,True,0.15389069380376288,29,52,5,105,0.8529411764705882,0.6687898089171974,77.0,6.428571428571429,0,False,False,True,False
rf,1:3,1.0,200,5.0,4,5,8,0.45,True,0.2777738472643655,28,52,6,105,0.8235294117647058,0.6687898089171974,82.0,6.428571428571429,0,False,False,True,False
rf,1:3,1.0,500,5.0,4,5,8,0.45,True,0.27503424926948933,28,52,6,105,0.8235294117647058,0.6687898089171974,82.0,6.428571428571429,0,False,False,True,False
rf,1:3,1.0,200,8.0,4,5,8,0.45,True,0.24536990799176983,28,52,6,105,0.8235294117647058,0.6687898089171974,82.0,6.428571428571429,0,False,False,True,False
rf,1:3,1.0,200,,4,5,8,0.45,True,0.24504251590974185,28,52,6,105,0.8235294117647058,0.6687898089171974,82.0,6.428571428571429,0,False,False,True,False
rf,1:2,1.0,500,,4,5,8,0.45,True,0.22962905692036512,28,52,6,105,0.8235294117647058,0.6687898089171974,82.0,6.428571428571429,0,False,False,True,False
rf,1:2,1.0,500,8.0,4,5,8,0.45,True,0.2296023570501643,28,52,6,105,0.8235294117647058,0.6687898089171974,82.0,6.428571428571429,0,False,False,True,False
rf,balanced,1.0,500,5.0,4,5,8,0.45,True,0.21998477208542752,28,52,6,105,0.8235294117647058,0.6687898089171974,82.0,6.428571428571429,0,False,False,True,False
rf,balanced,1.0,500,8.0,4,5,8,0.45,True,0.20279085879790518,28,52,6,105,0.8235294117647058,0.6687898089171974,82.0,6.428571428571429,0,False,False,True,False
rf,balanced,1.0,500,,4,5,8,0.45,True,0.2027306628626151,28,52,6,105,0.8235294117647058,0.6687898089171974,82.0,6.428571428571429,0,False,False,True,False
rf,balanced,1.0,200,,4,5,8,0.45,True,0.20240662486569883,28,52,6,105,0.8235294117647058,0.6687898089171974,82.0,6.428571428571429,0,False,False,True,False
