n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma,scale_pos_weight,subgroup_neg_boost,hard_neg_boost,hard_pos_boost,threshold,tp,fp,tn,fn,sens,spec,fnr,fpr,constraint_violation,constraint_feasible
300,2,0.05,6.0,0.9,0.8,6.0,0.0,4.0,0.0,0.0,0.0,0.33307963609695435,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
250,2,0.05,6.0,0.9,0.8,2.0,0.0,5.0,0.0,0.0,1.0,0.3304958939552307,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
350,2,0.05,6.0,0.9,0.7,6.0,0.0,5.0,0.0,0.0,0.5,0.3303894102573395,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
350,2,0.05,6.0,0.9,0.7,4.0,0.0,6.0,0.0,0.0,0.5,0.3269287645816803,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
300,2,0.05,6.0,0.9,0.7,2.0,0.0,5.0,0.0,0.0,0.5,0.3266095519065857,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
350,2,0.05,6.0,0.9,0.7,2.0,0.0,5.0,0.0,0.0,0.5,0.3250594139099121,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
350,2,0.05,6.0,0.9,0.8,2.0,0.0,6.0,0.0,0.0,0.5,0.32157135009765625,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
300,2,0.05,6.0,0.9,0.8,4.0,0.0,4.0,0.0,0.0,1.0,0.3199837803840637,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
350,2,0.05,6.0,0.9,0.7,4.0,0.0,5.0,0.0,0.0,0.5,0.3141886293888092,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
250,2,0.05,6.0,0.9,0.7,4.0,0.0,8.0,0.0,0.0,1.0,0.3929719030857086,29,28,129,5,0.8529411764705882,0.821656050955414,0.14705882352941177,0.17834394904458598,5.0,False
300,2,0.05,6.0,0.9,0.7,6.0,0.0,6.0,0.0,0.0,0.5,0.37740567326545715,29,28,129,5,0.8529411764705882,0.821656050955414,0.14705882352941177,0.17834394904458598,5.0,False
300,2,0.05,6.0,0.9,0.7,4.0,0.0,8.0,0.0,0.0,1.0,0.377158522605896,29,28,129,5,0.8529411764705882,0.821656050955414,0.14705882352941177,0.17834394904458598,5.0,False
350,2,0.05,6.0,0.9,0.7,6.0,0.0,6.0,0.0,0.0,0.5,0.3755725026130676,29,28,129,5,0.8529411764705882,0.821656050955414,0.14705882352941177,0.17834394904458598,5.0,False
300,2,0.05,6.0,0.8,0.8,4.0,0.0,6.0,0.0,0.0,1.0,0.3690207600593567,29,28,129,5,0.8529411764705882,0.821656050955414,0.14705882352941177,0.17834394904458598,5.0,False
300,2,0.05,6.0,0.9,0.7,6.0,0.0,6.0,0.0,0.0,1.0,0.3531741201877594,29,28,129,5,0.8529411764705882,0.821656050955414,0.14705882352941177,0.17834394904458598,5.0,False
