meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,cb_iterations,cb_depth,cb_learning_rate,n_splits,n_repeats,target_pos_ratio,use_raw_features,threshold,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_max_fp,meets_target_fn,meets_preserve_fn_max,meets_both
catboost,balanced,0.0,0,,0,400,4,0.03,5,5,0.45,True,0.17769995598409644,28,46,6,111,0.8235294117647058,0.7070063694267515,76.0,5.571428571428571,0,False,False,True,False
catboost,1:8,0.0,0,,0,400,4,0.05,5,5,0.35,True,0.15156404747666463,28,46,6,111,0.8235294117647058,0.7070063694267515,76.0,5.571428571428571,0,False,False,True,False
catboost,1:8,0.0,0,,0,400,4,0.05,5,5,0.25,True,0.0876907730818137,28,46,6,111,0.8235294117647058,0.7070063694267515,76.0,5.571428571428571,0,False,False,True,False
catboost,1:5,0.0,0,,0,400,3,0.03,5,5,0.45,True,0.21090960819871013,29,47,5,110,0.8529411764705882,0.7006369426751592,72.0,5.714285714285714,0,False,False,True,False
catboost,1:8,0.0,0,,0,200,3,0.03,5,5,0.25,True,0.3110744019783229,28,47,6,110,0.8235294117647058,0.7006369426751592,77.0,5.714285714285714,0,False,False,True,False
logreg,1:5,0.05,0,,0,0,0,0.0,5,5,0.25,True,0.2913915895993548,28,47,6,110,0.8235294117647058,0.7006369426751592,77.0,5.714285714285714,0,False,False,True,False
catboost,1:5,0.0,0,,0,200,3,0.05,5,5,0.45,True,0.261654736132003,28,47,6,110,0.8235294117647058,0.7006369426751592,77.0,5.714285714285714,0,False,False,True,False
catboost,1:3,0.0,0,,0,200,3,0.03,5,5,0.45,True,0.2603730658337934,28,47,6,110,0.8235294117647058,0.7006369426751592,77.0,5.714285714285714,0,False,False,True,False
catboost,1:8,0.0,0,,0,400,4,0.03,5,5,0.45,True,0.2502877751174186,28,47,6,110,0.8235294117647058,0.7006369426751592,77.0,5.714285714285714,0,False,False,True,False
logreg,1:3,0.05,0,,0,0,0,0.0,5,5,0.25,True,0.2398371916233928,28,47,6,110,0.8235294117647058,0.7006369426751592,77.0,5.714285714285714,0,False,False,True,False
catboost,1:5,0.0,0,,0,200,3,0.03,5,5,0.25,True,0.23807834463653932,28,47,6,110,0.8235294117647058,0.7006369426751592,77.0,5.714285714285714,0,False,False,True,False
rf,1:5,1.0,200,8.0,2,0,0,0.0,5,5,0.45,True,0.23075845690525293,28,47,6,110,0.8235294117647058,0.7006369426751592,77.0,5.714285714285714,0,False,False,True,False
catboost,balanced,0.0,0,,0,200,3,0.05,5,5,0.45,True,0.22506464621059513,28,47,6,110,0.8235294117647058,0.7006369426751592,77.0,5.714285714285714,0,False,False,True,False
rf,1:3,1.0,200,5.0,4,0,0,0.0,5,5,0.25,True,0.21505593914299054,28,47,6,110,0.8235294117647058,0.7006369426751592,77.0,5.714285714285714,0,False,False,True,False
rf,balanced,1.0,200,5.0,4,0,0,0.0,5,5,0.25,True,0.2144847610083486,28,47,6,110,0.8235294117647058,0.7006369426751592,77.0,5.714285714285714,0,False,False,True,False
rf,balanced,1.0,200,8.0,4,0,0,0.0,5,5,0.25,True,0.21195225765130918,28,47,6,110,0.8235294117647058,0.7006369426751592,77.0,5.714285714285714,0,False,False,True,False
logreg,balanced,0.1,0,,0,0,0,0.0,5,5,0.35,True,0.21074461775834696,28,47,6,110,0.8235294117647058,0.7006369426751592,77.0,5.714285714285714,0,False,False,True,False
logreg,balanced,0.1,0,,0,0,0,0.0,5,5,0.45,True,0.2094828404767731,28,47,6,110,0.8235294117647058,0.7006369426751592,77.0,5.714285714285714,0,False,False,True,False
catboost,balanced,0.0,0,,0,400,3,0.03,5,5,0.45,True,0.1973872265081427,28,47,6,110,0.8235294117647058,0.7006369426751592,77.0,5.714285714285714,0,False,False,True,False
catboost,1:8,0.0,0,,0,400,3,0.05,5,5,0.25,True,0.10999609816171374,28,47,6,110,0.8235294117647058,0.7006369426751592,77.0,5.714285714285714,0,False,False,True,False
