stage1_meta_model,stage1_class_weight_spec,stage1_meta_c,stage1_rf_n_estimators,stage1_rf_max_depth,stage1_rf_min_samples_leaf,stage2_meta_model,stage2_class_weight_spec,stage2_meta_c,stage2_rf_n_estimators,stage2_rf_max_depth,stage2_rf_min_samples_leaf,n_splits,stage1_target_pos_ratio,stage2_target_pos_ratio,use_raw_features,tp,fp,fn,tn,sens,spec,cost,constraint_violation,meets_max_fp,meets_target_fn,meets_both
logreg,1:8,0.05,0,,0,rf,"0:2,1:1",1.0,200,5.0,2,5,0.45,0.35,True,16,12,18,145,0.47058823529411764,0.9235668789808917,228.0,17.0,False,False,False
logreg,1:5,0.03,0,,0,rf,"0:3,1:1",1.0,200,5.0,2,5,0.45,0.35,True,16,15,18,142,0.47058823529411764,0.9044585987261147,231.0,17.0,False,False,False
logreg,balanced,0.03,0,,0,rf,"0:2,1:1",1.0,200,5.0,2,5,0.45,0.35,True,16,16,18,141,0.47058823529411764,0.8980891719745223,232.0,17.0,False,False,False
logreg,1:8,0.05,0,,0,rf,"0:3,1:1",1.0,200,5.0,2,5,0.45,0.35,True,16,17,18,140,0.47058823529411764,0.89171974522293,233.0,17.0,False,False,False
logreg,balanced,0.05,0,,0,rf,"0:3,1:1",1.0,200,5.0,2,5,0.45,0.35,True,16,17,18,140,0.47058823529411764,0.89171974522293,233.0,17.0,False,False,False
logreg,balanced,0.05,0,,0,rf,balanced,1.0,200,5.0,2,5,0.45,0.35,True,14,7,20,150,0.4117647058823529,0.9554140127388535,247.0,19.0,True,False,False
logreg,1:5,0.03,0,,0,rf,balanced,1.0,200,5.0,2,5,0.45,0.35,True,14,10,20,147,0.4117647058823529,0.9363057324840764,250.0,19.0,False,False,False
logreg,balanced,0.03,0,,0,rf,balanced,1.0,200,5.0,2,5,0.45,0.35,True,13,6,21,151,0.38235294117647056,0.9617834394904459,258.0,20.0,True,False,False
logreg,1:8,0.05,0,,0,rf,balanced,1.0,200,5.0,2,5,0.45,0.35,True,13,7,21,150,0.38235294117647056,0.9554140127388535,259.0,20.0,True,False,False
logreg,1:8,0.03,0,,0,rf,balanced,1.0,200,5.0,2,5,0.45,0.35,True,13,9,21,148,0.38235294117647056,0.9426751592356688,261.0,20.0,False,False,False
