model_name,logreg_c,dtree_max_depth,dtree_min_leaf,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,xgb_gamma,cb_iterations,cb_depth,cb_learning_rate,cb_l2_leaf_reg,threshold,tp,fp,fn,tn,sens,spec
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.8,6.0,0.0,0,0,0.0,0.0,0.41403207182884216,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.8,6.0,0.0,0,0,0.0,0.0,0.41403207182884216,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.8,3.0,0.0,0,0,0.0,0.0,0.3949655294418335,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.8,3.0,0.0,0,0,0.0,0.0,0.3949655294418335,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.9,3.0,0.0,0,0,0.0,0.0,0.39470624923706055,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.9,3.0,0.0,0,0,0.0,0.0,0.39470624923706055,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.9,3.0,0.2,0,0,0.0,0.0,0.3946807086467743,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.9,3.0,0.2,0,0,0.0,0.0,0.3946807086467743,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,30,3,0.03,2.0,0.85,0.8,6.0,0.0,0,0,0.0,0.0,0.3922390639781952,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,30,4,0.03,2.0,0.85,0.8,6.0,0.0,0,0,0.0,0.0,0.3922390639781952,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,30,3,0.03,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.3698986768722534,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,30,4,0.03,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.3698986768722534,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,30,4,0.02,2.0,0.9,0.9,1.0,0.0,0,0,0.0,0.0,0.36549311876296997,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,30,3,0.03,2.0,0.9,0.9,3.0,0.0,0,0,0.0,0.0,0.3646674156188965,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,30,4,0.03,2.0,0.9,0.9,3.0,0.0,0,0,0.0,0.0,0.3646674156188965,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,50,4,0.02,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.35705113410949707,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,50,3,0.02,2.0,0.9,0.8,3.0,0.2,0,0,0.0,0.0,0.35664886236190796,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,50,4,0.02,2.0,0.9,0.8,3.0,0.2,0,0,0.0,0.0,0.35664886236190796,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,50,3,0.02,2.0,0.9,0.9,3.0,0.2,0,0,0.0,0.0,0.35101014375686646,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,50,4,0.02,2.0,0.9,0.9,3.0,0.2,0,0,0.0,0.0,0.35101014375686646,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,80,3,0.02,2.0,0.85,0.9,6.0,0.0,0,0,0.0,0.0,0.34415531158447266,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,80,4,0.02,2.0,0.85,0.9,6.0,0.0,0,0,0.0,0.0,0.34415531158447266,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,80,3,0.02,2.0,0.85,0.8,6.0,0.0,0,0,0.0,0.0,0.3435785174369812,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,80,4,0.02,2.0,0.85,0.8,6.0,0.0,0,0,0.0,0.0,0.3435785174369812,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,80,3,0.02,2.0,0.85,0.9,6.0,0.2,0,0,0.0,0.0,0.34336990118026733,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,80,4,0.02,2.0,0.85,0.9,6.0,0.2,0,0,0.0,0.0,0.34336990118026733,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,50,3,0.02,2.0,0.9,0.8,1.0,0.0,0,0,0.0,0.0,0.3231208026409149,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,50,4,0.03,2.0,0.9,0.8,3.0,0.2,0,0,0.0,0.0,0.3222080171108246,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,50,3,0.03,2.0,0.9,0.8,3.0,0.2,0,0,0.0,0.0,0.32193446159362793,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,80,4,0.03,2.0,0.85,0.8,6.0,0.0,0,0,0.0,0.0,0.31300392746925354,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,80,3,0.03,2.0,0.85,0.8,6.0,0.0,0,0,0.0,0.0,0.312257319688797,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,80,3,0.02,2.0,0.9,0.9,3.0,0.2,0,0,0.0,0.0,0.30438777804374695,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,80,3,0.03,2.0,0.9,0.8,3.0,0.0,0,0,0.0,0.0,0.27698084712028503,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,80,3,0.03,2.0,0.9,0.8,3.0,0.2,0,0,0.0,0.0,0.2760305404663086,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,80,3,0.03,2.0,0.85,0.9,3.0,0.2,0,0,0.0,0.0,0.27469485998153687,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,80,4,0.03,2.0,0.85,0.9,3.0,0.2,0,0,0.0,0.0,0.27469485998153687,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,80,3,0.03,2.0,0.85,0.9,3.0,0.0,0,0,0.0,0.0,0.27195194363594055,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,80,4,0.03,2.0,0.85,0.9,3.0,0.0,0,0,0.0,0.0,0.27195194363594055,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,80,3,0.02,2.0,0.85,0.9,1.0,0.2,0,0,0.0,0.0,0.2706337571144104,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,80,4,0.02,2.0,0.85,0.9,1.0,0.2,0,0,0.0,0.0,0.2706337571144104,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,50,4,0.03,2.0,0.9,0.8,1.0,0.2,0,0,0.0,0.0,0.26205122470855713,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,80,4,0.03,1.0,0.85,0.9,1.0,0.0,0,0,0.0,0.0,0.17868515849113464,31,33,3,124,0.9117647058823529,0.7898089171974523
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.8,6.0,0.2,0,0,0.0,0.0,0.4121782183647156,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.8,6.0,0.2,0,0,0.0,0.0,0.4121782183647156,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.8,3.0,0.2,0,0,0.0,0.0,0.3949655294418335,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.8,3.0,0.2,0,0,0.0,0.0,0.3949655294418335,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,4,0.02,1.0,0.9,0.8,6.0,0.0,0,0,0.0,0.0,0.39363229274749756,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,3,0.03,2.0,0.85,0.9,6.0,0.0,0,0,0.0,0.0,0.3893755078315735,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,4,0.03,2.0,0.85,0.9,6.0,0.0,0,0,0.0,0.0,0.3893755078315735,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,3,0.02,2.0,0.9,0.9,3.0,0.0,0,0,0.0,0.0,0.38412874937057495,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,4,0.02,2.0,0.9,0.9,3.0,0.0,0,0,0.0,0.0,0.38412874937057495,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,3,0.02,2.0,0.9,0.9,3.0,0.2,0,0,0.0,0.0,0.38412487506866455,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,4,0.02,2.0,0.9,0.9,3.0,0.2,0,0,0.0,0.0,0.38412487506866455,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,3,0.03,1.0,0.85,0.8,6.0,0.0,0,0,0.0,0.0,0.3777908384799957,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,4,0.02,1.0,0.85,0.8,3.0,0.0,0,0,0.0,0.0,0.3768959641456604,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,3,0.02,1.0,0.85,0.8,3.0,0.0,0,0,0.0,0.0,0.37677162885665894,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,4,0.03,1.0,0.85,0.8,6.0,0.0,0,0,0.0,0.0,0.3766024112701416,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,3,0.02,1.0,0.85,0.8,3.0,0.2,0,0,0.0,0.0,0.37627631425857544,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,50,3,0.02,2.0,0.9,0.9,6.0,0.0,0,0,0.0,0.0,0.3745811879634857,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,50,4,0.02,2.0,0.9,0.9,6.0,0.0,0,0,0.0,0.0,0.3745811879634857,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,4,0.03,1.0,0.85,0.8,6.0,0.2,0,0,0.0,0.0,0.3721143901348114,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,50,3,0.02,2.0,0.9,0.9,6.0,0.2,0,0,0.0,0.0,0.3713081181049347,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,50,4,0.02,2.0,0.9,0.9,6.0,0.2,0,0,0.0,0.0,0.3713081181049347,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,3,0.03,2.0,0.85,0.8,3.0,0.0,0,0,0.0,0.0,0.36959946155548096,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,4,0.03,2.0,0.85,0.8,3.0,0.0,0,0,0.0,0.0,0.36959946155548096,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,3,0.03,2.0,0.9,0.8,3.0,0.2,0,0,0.0,0.0,0.36955955624580383,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,4,0.03,2.0,0.9,0.8,3.0,0.2,0,0,0.0,0.0,0.3695578873157501,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.9,1.0,0.0,0,0,0.0,0.0,0.3693550229072571,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.9,1.0,0.2,0,0,0.0,0.0,0.3693550229072571,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.9,1.0,0.0,0,0,0.0,0.0,0.3693550229072571,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.9,1.0,0.2,0,0,0.0,0.0,0.3693550229072571,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,3,0.02,2.0,0.9,0.8,1.0,0.0,0,0,0.0,0.0,0.3674405515193939,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,4,0.02,2.0,0.9,0.8,1.0,0.0,0,0,0.0,0.0,0.36734265089035034,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,4,0.02,2.0,0.9,0.8,1.0,0.2,0,0,0.0,0.0,0.36727243661880493,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,3,0.03,2.0,0.85,0.8,3.0,0.2,0,0,0.0,0.0,0.3666192591190338,31,34,3,123,0.9117647058823529,0.7834394904458599
xgboost,0.0,0,0,30,4,0.03,2.0,0.85,0.8,3.0,0.2,0,0,0.0,0.0,0.3666192591190338,31,34,3,123,0.9117647058823529,0.7834394904458599
