meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,cb_iterations,cb_depth,cb_learning_rate,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,xgb_gamma,n_splits,n_repeats,target_pos_ratio,use_raw_features,threshold,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_max_fp,meets_target_fn,meets_preserve_fn_max,meets_both
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.03,2.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.3586178223292033,29,43,5,114,0.8529411764705882,0.7261146496815286,68.0,5.142857142857143,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.03,2.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.3382515187064807,29,43,5,114,0.8529411764705882,0.7261146496815286,68.0,5.142857142857143,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.05,2.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.304057573278745,29,43,5,114,0.8529411764705882,0.7261146496815286,68.0,5.142857142857143,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.03,2.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.28984758754571277,29,43,5,114,0.8529411764705882,0.7261146496815286,68.0,5.142857142857143,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.03,2.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.26650650178392726,29,43,5,114,0.8529411764705882,0.7261146496815286,68.0,5.142857142857143,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.03,2.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.343961201608181,29,44,5,113,0.8529411764705882,0.7197452229299363,69.0,5.285714285714286,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.03,2.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.33406488100687665,29,44,5,113,0.8529411764705882,0.7197452229299363,69.0,5.285714285714286,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.05,2.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.29762691880265874,29,44,5,113,0.8529411764705882,0.7197452229299363,69.0,5.285714285714286,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.03,2.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.317626740783453,29,45,5,112,0.8529411764705882,0.7133757961783439,70.0,5.428571428571429,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.03,2.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.31654657423496246,29,45,5,112,0.8529411764705882,0.7133757961783439,70.0,5.428571428571429,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.03,2.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.34173791358868283,29,46,5,111,0.8529411764705882,0.7070063694267515,71.0,5.571428571428571,0,False,False,True,False
catboost,1:8,0.0,0,,0,400,6,0.05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0.35,True,0.1363698478398678,30,47,4,110,0.8823529411764706,0.7006369426751592,67.0,5.714285714285714,0,False,False,True,False
