threshold,tp,fp,fn,tn,sensitivity,specificity
0.1767073141550223,28,76,6,81,0.8235294117647058,0.5159235668789809
0.1767307078275671,28,75,6,82,0.8235294117647058,0.5222929936305732
0.176787178447523,28,74,6,83,0.8235294117647058,0.5286624203821656
0.1769670454955832,28,73,6,84,0.8235294117647058,0.535031847133758
0.1796717056265548,28,72,6,85,0.8235294117647058,0.5414012738853503
0.1803845443606657,28,71,6,86,0.8235294117647058,0.5477707006369427
0.1812250943580317,28,70,6,87,0.8235294117647058,0.554140127388535
0.1812323147965891,28,69,6,88,0.8235294117647058,0.5605095541401274
0.1817689979545723,28,68,6,89,0.8235294117647058,0.5668789808917197
0.1819907488097187,28,67,6,90,0.8235294117647058,0.5732484076433121
0.1823548102665922,28,66,6,91,0.8235294117647058,0.5796178343949044
0.1824525311499592,28,65,6,92,0.8235294117647058,0.5859872611464968
0.1825166228358154,28,64,6,93,0.8235294117647058,0.5923566878980892
0.1826146737874383,28,63,6,94,0.8235294117647058,0.5987261146496815
0.1826624868568303,28,62,6,95,0.8235294117647058,0.6050955414012739
0.1828521660187773,28,61,6,96,0.8235294117647058,0.6114649681528662
0.1830593002248986,28,60,6,97,0.8235294117647058,0.6178343949044586
0.1830896991246959,28,59,6,98,0.8235294117647058,0.6242038216560509
0.183091873492494,28,58,6,99,0.8235294117647058,0.6305732484076433
0.1831388354381128,28,57,6,100,0.8235294117647058,0.6369426751592356
0.1832723791676135,28,56,6,101,0.8235294117647058,0.643312101910828
0.1833365281080371,27,56,7,101,0.7941176470588235,0.643312101910828
0.1833813170221338,27,55,7,102,0.7941176470588235,0.6496815286624203
0.1835904324819717,27,54,7,103,0.7941176470588235,0.6560509554140127
0.1846625058218783,27,53,7,104,0.7941176470588235,0.6624203821656051
0.1851459380994587,27,52,7,105,0.7941176470588235,0.6687898089171974
0.1852184623901334,27,51,7,106,0.7941176470588235,0.6751592356687898
0.1866534900044122,27,50,7,107,0.7941176470588235,0.6815286624203821
0.1887761013983595,27,49,7,108,0.7941176470588235,0.6878980891719745
0.1938711671846843,27,48,7,109,0.7941176470588235,0.6942675159235668
0.1991107968510335,27,47,7,110,0.7941176470588235,0.7006369426751592
0.2,27,46,7,111,0.7941176470588235,0.7070063694267515
0.2019751854360255,26,44,8,113,0.7647058823529411,0.7197452229299363
0.2048471489416156,26,43,8,114,0.7647058823529411,0.7261146496815286
0.2068965517241379,25,43,9,114,0.7352941176470589,0.7261146496815286
0.2096928010573927,24,40,10,117,0.7058823529411765,0.7452229299363057
0.2153504501440202,24,39,10,118,0.7058823529411765,0.7515923566878981
0.2156090822365125,23,39,11,118,0.6764705882352942,0.7515923566878981
0.2365139196740416,22,39,12,118,0.6470588235294118,0.7515923566878981
0.238095238095238,22,38,12,119,0.6470588235294118,0.7579617834394905
0.2503204614118098,22,30,12,127,0.6470588235294118,0.8089171974522293
0.2512618283718455,21,30,13,127,0.6176470588235294,0.8089171974522293
0.2635902245964917,21,29,13,128,0.6176470588235294,0.8152866242038217
0.2647058823529412,20,29,14,128,0.5882352941176471,0.8152866242038217
0.2712004660444161,20,23,14,134,0.5882352941176471,0.8535031847133758
0.2768930908791759,20,22,14,135,0.5882352941176471,0.8598726114649682
0.2777777777777778,20,21,14,136,0.5882352941176471,0.8662420382165605
0.2799002824971448,17,19,17,138,0.5,0.8789808917197452
0.290238120210101,17,18,17,139,0.5,0.8853503184713376
0.2954859989943516,17,17,17,140,0.5,0.89171974522293
0.3114000294917427,17,16,17,141,0.5,0.8980891719745223
0.3116184128927002,17,15,17,142,0.5,0.9044585987261147
0.332686550038555,17,14,17,143,0.5,0.910828025477707
0.3333333333333333,16,14,18,143,0.47058823529411764,0.910828025477707
0.3992525266749572,16,13,18,144,0.47058823529411764,0.9171974522292994
0.4440322890041233,16,12,18,145,0.47058823529411764,0.9235668789808917
0.5348863903878787,15,12,19,145,0.4411764705882353,0.9235668789808917
0.5384615384615384,15,11,19,146,0.4411764705882353,0.9299363057324841
0.5652173913043478,14,9,20,148,0.4117647058823529,0.9426751592356688
0.5833333333333334,13,5,21,152,0.38235294117647056,0.9681528662420382
0.625,10,4,24,153,0.29411764705882354,0.9745222929936306
0.7142857142857143,10,2,24,155,0.29411764705882354,0.9872611464968153
0.7388605359177199,8,2,26,155,0.23529411764705882,0.9872611464968153
0.7431340992823663,7,2,27,155,0.20588235294117646,0.9872611464968153
0.7594879992054651,7,1,27,156,0.20588235294117646,0.9936305732484076
0.80875804265093,6,1,28,156,0.17647058823529413,0.9936305732484076
0.8181818181818182,5,1,29,156,0.14705882352941177,0.9936305732484076
1.0,2,0,32,157,0.058823529411764705,1.0
