meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,cb_iterations,cb_depth,cb_learning_rate,target_pos_ratio,threshold,n_splits,n_repeats,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_max_fp,meets_target_fn,meets_preserve_fn_max,meets_both,phase
catboost,1:8,0.0,0,,0,450,5,0.05,0.4,0.17498591061378366,3,1,28,42,6,115,0.8235294117647058,0.732484076433121,114.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,350,6,0.05,0.35,0.1688175079212025,3,1,28,42,6,115,0.8235294117647058,0.732484076433121,114.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,350,5,0.03,0.3,0.1680129781818249,3,1,28,42,6,115,0.8235294117647058,0.732484076433121,114.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,450,5,0.03,0.35,0.15707891757863612,3,1,28,42,6,115,0.8235294117647058,0.732484076433121,114.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,450,6,0.03,0.4,0.1490362990866597,3,1,28,42,6,115,0.8235294117647058,0.732484076433121,114.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,350,5,0.03,0.4,0.3001718774173287,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,350,5,0.03,0.35,0.2820718151630243,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,350,6,0.03,0.35,0.2813076296295104,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,400,6,0.03,0.35,0.2674170180341748,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,450,6,0.03,0.35,0.2424095412238392,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,450,5,0.03,0.35,0.2400289437716521,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,350,5,0.05,0.4,0.19522236139978244,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,450,6,0.03,0.3,0.18434737357292993,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,5,0.05,0.4,0.17816897228749198,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,400,6,0.05,0.4,0.17608208941437448,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,500,6,0.03,0.3,0.16978361059518507,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,450,5,0.03,0.3,0.16855585439920684,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,350,5,0.05,0.35,0.1620610883622926,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,450,6,0.05,0.4,0.15512706317124916,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,350,6,0.05,0.4,0.15189083019829644,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,500,5,0.03,0.35,0.1278364642395625,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,350,5,0.05,0.35,0.10589810326074404,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,500,5,0.05,0.3,0.10410802856539879,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,350,5,0.03,0.4,0.19276792697099163,3,1,29,44,5,113,0.8529411764705882,0.7197452229299363,104.0,5.285714285714286,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,500,6,0.03,0.35,0.22871684094143582,3,1,28,44,6,113,0.8235294117647058,0.7197452229299363,116.0,5.285714285714286,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,400,5,0.03,0.3,0.1788735147624395,3,1,28,44,6,113,0.8235294117647058,0.7197452229299363,116.0,5.285714285714286,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,5,0.03,0.3,0.1678316246472149,3,1,28,44,6,113,0.8235294117647058,0.7197452229299363,116.0,5.285714285714286,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,350,6,0.03,0.4,0.1659587820959856,3,1,28,44,6,113,0.8235294117647058,0.7197452229299363,116.0,5.285714285714286,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,350,5,0.05,0.35,0.1650054645961945,3,1,28,44,6,113,0.8235294117647058,0.7197452229299363,116.0,5.285714285714286,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,400,5,0.05,0.35,0.1491061760164707,3,1,28,44,6,113,0.8235294117647058,0.7197452229299363,116.0,5.285714285714286,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,500,6,0.03,0.3,0.14459404639164458,3,1,28,44,6,113,0.8235294117647058,0.7197452229299363,116.0,5.285714285714286,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,500,6,0.05,0.4,0.1426351722255442,3,1,28,44,6,113,0.8235294117647058,0.7197452229299363,116.0,5.285714285714286,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,450,6,0.03,0.3,0.12409028643041484,3,1,28,44,6,113,0.8235294117647058,0.7197452229299363,116.0,5.285714285714286,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,500,6,0.03,0.3,0.11355721042345898,3,1,28,44,6,113,0.8235294117647058,0.7197452229299363,116.0,5.285714285714286,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,450,6,0.05,0.3,0.08616862833095802,3,1,28,44,6,113,0.8235294117647058,0.7197452229299363,116.0,5.285714285714286,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,500,6,0.05,0.3,0.08114878736792859,3,1,28,44,6,113,0.8235294117647058,0.7197452229299363,116.0,5.285714285714286,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,450,5,0.03,0.3,0.14004404733268128,3,1,29,45,5,112,0.8529411764705882,0.7133757961783439,105.0,5.428571428571429,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,500,5,0.03,0.3,0.12635835960316863,3,1,29,45,5,112,0.8529411764705882,0.7133757961783439,105.0,5.428571428571429,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,350,5,0.03,0.3,0.19475609221758816,3,1,28,45,6,112,0.8235294117647058,0.7133757961783439,117.0,5.428571428571429,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,400,6,0.03,0.3,0.19223128053508606,3,1,28,45,6,112,0.8235294117647058,0.7133757961783439,117.0,5.428571428571429,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,350,5,0.03,0.35,0.165153162354752,3,1,28,45,6,112,0.8235294117647058,0.7133757961783439,117.0,5.428571428571429,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,350,6,0.03,0.3,0.15379449678754986,3,1,28,45,6,112,0.8235294117647058,0.7133757961783439,117.0,5.428571428571429,0,False,False,True,False,coarse
