meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,n_splits,n_repeats,target_pos_ratio,use_raw_features,threshold,tp,fp,fn,tn,sens,spec,cost,constraint_violation,meets_max_fp,meets_target_fn,meets_both
rf,1:2,1.0,500,,2,5,8,0.45,True,0.20747471792483402,27,47,7,110,0.7941176470588235,0.7006369426751592,131.0,6.0,False,False,False
rf,1:2,1.0,500,8.0,2,5,8,0.45,True,0.20739076217570018,27,47,7,110,0.7941176470588235,0.7006369426751592,131.0,6.0,False,False,False
rf,1:3,1.0,500,8.0,1,5,8,0.45,True,0.18943308674030107,27,47,7,110,0.7941176470588235,0.7006369426751592,131.0,6.0,False,False,False
logreg,1:2,0.5,0,,0,5,8,0.45,True,0.1459877556890939,27,47,7,110,0.7941176470588235,0.7006369426751592,131.0,6.0,False,False,False
logreg,1:2,1.0,0,,0,5,8,0.45,True,0.12202409218084873,27,47,7,110,0.7941176470588235,0.7006369426751592,131.0,6.0,False,False,False
rf,1:2,1.0,200,3.0,2,5,8,0.45,True,0.34056442581124713,27,48,7,109,0.7941176470588235,0.6942675159235668,132.0,6.0,False,False,False
rf,1:2,1.0,200,3.0,1,5,8,0.45,True,0.340340684922341,27,48,7,109,0.7941176470588235,0.6942675159235668,132.0,6.0,False,False,False
rf,1:2,1.0,200,3.0,4,5,8,0.45,True,0.3395536503508736,27,48,7,109,0.7941176470588235,0.6942675159235668,132.0,6.0,False,False,False
rf,1:2,1.0,500,3.0,4,5,8,0.45,True,0.33912855229047156,27,48,7,109,0.7941176470588235,0.6942675159235668,132.0,6.0,False,False,False
rf,1:2,1.0,500,3.0,2,5,8,0.45,True,0.3377021624312746,27,48,7,109,0.7941176470588235,0.6942675159235668,132.0,6.0,False,False,False
rf,1:2,1.0,500,3.0,1,5,8,0.45,True,0.3375134837196321,27,48,7,109,0.7941176470588235,0.6942675159235668,132.0,6.0,False,False,False
rf,balanced,1.0,500,3.0,2,5,8,0.45,True,0.26958158649627995,27,48,7,109,0.7941176470588235,0.6942675159235668,132.0,6.0,False,False,False
rf,balanced,1.0,500,3.0,1,5,8,0.45,True,0.26751131332778794,27,48,7,109,0.7941176470588235,0.6942675159235668,132.0,6.0,False,False,False
rf,1:2,1.0,500,5.0,4,5,8,0.45,True,0.26658929250597563,27,48,7,109,0.7941176470588235,0.6942675159235668,132.0,6.0,False,False,False
rf,1:3,1.0,200,8.0,4,5,8,0.45,True,0.2655457190119573,27,48,7,109,0.7941176470588235,0.6942675159235668,132.0,6.0,False,False,False
rf,1:3,1.0,200,,4,5,8,0.45,True,0.2655223666768246,27,48,7,109,0.7941176470588235,0.6942675159235668,132.0,6.0,False,False,False
rf,balanced,1.0,500,5.0,4,5,8,0.45,True,0.23991980858821962,27,48,7,109,0.7941176470588235,0.6942675159235668,132.0,6.0,False,False,False
rf,balanced,1.0,500,8.0,4,5,8,0.45,True,0.2300271676302315,27,48,7,109,0.7941176470588235,0.6942675159235668,132.0,6.0,False,False,False
rf,balanced,1.0,500,,4,5,8,0.45,True,0.22982565722642412,27,48,7,109,0.7941176470588235,0.6942675159235668,132.0,6.0,False,False,False
rf,1:5,1.0,200,8.0,2,5,8,0.45,True,0.22459924384682955,27,48,7,109,0.7941176470588235,0.6942675159235668,132.0,6.0,False,False,False
rf,1:5,1.0,500,8.0,1,5,8,0.45,True,0.2155811837760066,27,48,7,109,0.7941176470588235,0.6942675159235668,132.0,6.0,False,False,False
rf,1:3,1.0,500,8.0,2,5,8,0.45,True,0.21409157347979058,27,48,7,109,0.7941176470588235,0.6942675159235668,132.0,6.0,False,False,False
rf,balanced,1.0,200,5.0,1,5,8,0.45,True,0.2124432169692757,27,48,7,109,0.7941176470588235,0.6942675159235668,132.0,6.0,False,False,False
logreg,1:3,1.0,0,,0,5,8,0.45,True,0.1254332699507828,27,48,7,109,0.7941176470588235,0.6942675159235668,132.0,6.0,False,False,False
rf,1:3,1.0,500,8.0,4,5,8,0.45,True,0.2640721455431946,27,49,7,108,0.7941176470588235,0.6878980891719745,133.0,6.0,False,False,False
rf,1:3,1.0,500,,4,5,8,0.45,True,0.26383812960685243,27,49,7,108,0.7941176470588235,0.6878980891719745,133.0,6.0,False,False,False
rf,1:2,1.0,200,8.0,4,5,8,0.45,True,0.24973388993180334,27,49,7,108,0.7941176470588235,0.6878980891719745,133.0,6.0,False,False,False
rf,1:2,1.0,200,,4,5,8,0.45,True,0.2495495169954177,27,49,7,108,0.7941176470588235,0.6878980891719745,133.0,6.0,False,False,False
rf,balanced,1.0,200,5.0,4,5,8,0.45,True,0.23845581009037053,27,49,7,108,0.7941176470588235,0.6878980891719745,133.0,6.0,False,False,False
rf,balanced,1.0,200,8.0,4,5,8,0.45,True,0.23085900102320933,27,49,7,108,0.7941176470588235,0.6878980891719745,133.0,6.0,False,False,False
rf,balanced,1.0,200,,4,5,8,0.45,True,0.23028822327296652,27,49,7,108,0.7941176470588235,0.6878980891719745,133.0,6.0,False,False,False
rf,1:2,1.0,500,5.0,1,5,8,0.45,True,0.2279810597761522,27,49,7,108,0.7941176470588235,0.6878980891719745,133.0,6.0,False,False,False
rf,balanced,1.0,200,5.0,2,5,8,0.45,True,0.22156124485145712,27,49,7,108,0.7941176470588235,0.6878980891719745,133.0,6.0,False,False,False
rf,1:5,1.0,500,8.0,2,5,8,0.45,True,0.21829042409530644,27,49,7,108,0.7941176470588235,0.6878980891719745,133.0,6.0,False,False,False
logreg,1:3,0.5,0,,0,5,8,0.45,True,0.15500232473293682,28,50,6,107,0.8235294117647058,0.6815286624203821,122.0,6.142857142857143,False,False,False
rf,1:5,1.0,200,5.0,4,5,8,0.45,True,0.3294242896583708,27,50,7,107,0.7941176470588235,0.6815286624203821,134.0,6.142857142857143,False,False,False
rf,1:8,1.0,200,,4,5,8,0.45,True,0.3004845907431247,27,50,7,107,0.7941176470588235,0.6815286624203821,134.0,6.142857142857143,False,False,False
rf,1:3,1.0,500,5.0,4,5,8,0.45,True,0.28130136110520476,27,50,7,107,0.7941176470588235,0.6815286624203821,134.0,6.142857142857143,False,False,False
rf,1:2,1.0,200,5.0,4,5,8,0.45,True,0.2579235464822535,27,50,7,107,0.7941176470588235,0.6815286624203821,134.0,6.142857142857143,False,False,False
rf,1:2,1.0,500,5.0,2,5,8,0.45,True,0.2321819672869356,27,50,7,107,0.7941176470588235,0.6815286624203821,134.0,6.142857142857143,False,False,False
rf,1:12,1.0,200,,2,5,8,0.45,True,0.21754259979975038,27,50,7,107,0.7941176470588235,0.6815286624203821,134.0,6.142857142857143,False,False,False
rf,1:12,1.0,500,,2,5,8,0.45,True,0.21312336163349452,27,50,7,107,0.7941176470588235,0.6815286624203821,134.0,6.142857142857143,False,False,False
rf,1:3,1.0,200,5.0,2,5,8,0.45,True,0.25592733873356416,28,51,6,106,0.8235294117647058,0.6751592356687898,123.0,6.285714285714286,False,False,False
rf,1:8,1.0,200,8.0,4,5,8,0.45,True,0.310130620674042,27,51,7,106,0.7941176470588235,0.6751592356687898,135.0,6.285714285714286,False,False,False
