meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,cb_iterations,cb_depth,cb_learning_rate,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,xgb_gamma,n_splits,n_repeats,target_pos_ratio,use_raw_features,threshold,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_max_fp,meets_target_fn,meets_preserve_fn_max,meets_both
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.05,4.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.3613708019256592,28,37,6,120,0.8235294117647058,0.7643312101910829,67.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.03,4.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.40453776717185974,28,38,6,119,0.8235294117647058,0.7579617834394905,68.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.05,4.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.3465564101934433,28,38,6,119,0.8235294117647058,0.7579617834394905,68.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.05,4.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.34317327042420703,28,38,6,119,0.8235294117647058,0.7579617834394905,68.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.05,4.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.3275609016418457,28,38,6,119,0.8235294117647058,0.7579617834394905,68.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.05,4.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.32261284192403156,28,38,6,119,0.8235294117647058,0.7579617834394905,68.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.03,4.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.3694385886192322,28,39,6,118,0.8235294117647058,0.7515923566878981,69.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.03,4.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.36284740765889484,28,39,6,118,0.8235294117647058,0.7515923566878981,69.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.05,2.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.3441370675961177,28,39,6,118,0.8235294117647058,0.7515923566878981,69.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.05,2.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.32812394201755524,28,39,6,118,0.8235294117647058,0.7515923566878981,69.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.05,2.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.29536454379558563,28,39,6,118,0.8235294117647058,0.7515923566878981,69.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.03,4.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.3973128894964854,28,40,6,117,0.8235294117647058,0.7452229299363057,70.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.03,2.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.3596990406513214,28,40,6,117,0.8235294117647058,0.7452229299363057,70.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.03,2.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.3499849836031596,28,40,6,117,0.8235294117647058,0.7452229299363057,70.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.05,2.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.282428244749705,28,40,6,117,0.8235294117647058,0.7452229299363057,70.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.05,2.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.27566572030385333,28,40,6,117,0.8235294117647058,0.7452229299363057,70.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.03,4.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.38631683588027954,28,41,6,116,0.8235294117647058,0.7388535031847133,71.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.03,4.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.363774170478185,28,41,6,116,0.8235294117647058,0.7388535031847133,71.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.03,2.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.3514011154572169,28,41,6,116,0.8235294117647058,0.7388535031847133,71.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.03,2.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.29634300867716473,28,41,6,116,0.8235294117647058,0.7388535031847133,71.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.05,2.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.2525685330231984,28,41,6,116,0.8235294117647058,0.7388535031847133,71.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.05,2.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.24390804270903269,28,41,6,116,0.8235294117647058,0.7388535031847133,71.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.03,4.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.3724747399489085,28,42,6,115,0.8235294117647058,0.732484076433121,72.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.03,4.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.3428434034188588,28,42,6,115,0.8235294117647058,0.732484076433121,72.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.03,2.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.3171580185492833,28,42,6,115,0.8235294117647058,0.732484076433121,72.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.03,2.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.29847676555315655,28,42,6,115,0.8235294117647058,0.732484076433121,72.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.03,2.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.298047016064326,28,42,6,115,0.8235294117647058,0.732484076433121,72.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.05,2.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.2208742101987203,28,42,6,115,0.8235294117647058,0.732484076433121,72.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.05,2.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.2163499395052592,28,42,6,115,0.8235294117647058,0.732484076433121,72.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.05,2.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.190134659409523,28,43,6,114,0.8235294117647058,0.7261146496815286,73.0,5.142857142857143,0,False,False,True,False
catboost,1:8,0.0,0,,0,400,6,0.05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0.35,True,0.13144342762455474,29,50,5,107,0.8529411764705882,0.6815286624203821,75.0,6.142857142857143,0,False,False,True,False
