threshold,tp,fp,fn,tn,sensitivity,specificity,fpr,fnr
0.1736167098267378,25,98,9,59,0.7352941176470589,0.37579617834394907,0.6242038216560509,0.2647058823529412
0.1738304246170487,25,97,9,60,0.7352941176470589,0.3821656050955414,0.6178343949044586,0.2647058823529412
0.1739176819854167,25,96,9,61,0.7352941176470589,0.3885350318471338,0.6114649681528662,0.2647058823529412
0.1740583137761597,24,96,10,61,0.7058823529411765,0.3885350318471338,0.6114649681528662,0.29411764705882354
0.1741642721584977,24,95,10,62,0.7058823529411765,0.39490445859872614,0.6050955414012739,0.29411764705882354
0.1742573527570103,24,94,10,63,0.7058823529411765,0.4012738853503185,0.5987261146496815,0.29411764705882354
0.1744649200111621,24,93,10,64,0.7058823529411765,0.40764331210191085,0.5923566878980892,0.29411764705882354
0.1744723696301395,24,92,10,65,0.7058823529411765,0.4140127388535032,0.5859872611464968,0.29411764705882354
0.1746044397458701,24,91,10,66,0.7058823529411765,0.42038216560509556,0.5796178343949044,0.29411764705882354
0.1746197351758619,24,90,10,67,0.7058823529411765,0.4267515923566879,0.5732484076433121,0.29411764705882354
0.1746711435675802,24,89,10,68,0.7058823529411765,0.43312101910828027,0.5668789808917197,0.29411764705882354
0.1747077525632263,24,88,10,69,0.7058823529411765,0.4394904458598726,0.5605095541401274,0.29411764705882354
0.1747374063213917,24,87,10,70,0.7058823529411765,0.445859872611465,0.554140127388535,0.29411764705882354
0.1747724062850463,24,86,10,71,0.7058823529411765,0.45222929936305734,0.5477707006369427,0.29411764705882354
0.1747896049769471,24,85,10,72,0.7058823529411765,0.4585987261146497,0.5414012738853503,0.29411764705882354
0.1749408954409518,24,84,10,73,0.7058823529411765,0.46496815286624205,0.535031847133758,0.29411764705882354
0.1749423148641434,24,83,10,74,0.7058823529411765,0.4713375796178344,0.5286624203821656,0.29411764705882354
0.1750156959873212,24,82,10,75,0.7058823529411765,0.47770700636942676,0.5222929936305732,0.29411764705882354
0.1750489890720836,23,82,11,75,0.6764705882352942,0.47770700636942676,0.5222929936305732,0.3235294117647059
0.1753291107687331,23,81,11,76,0.6764705882352942,0.4840764331210191,0.5159235668789809,0.3235294117647059
0.1753702086360856,23,80,11,77,0.6764705882352942,0.49044585987261147,0.5095541401273885,0.3235294117647059
0.1754375525827848,23,79,11,78,0.6764705882352942,0.4968152866242038,0.5031847133757962,0.3235294117647059
0.175467504863712,23,78,11,79,0.6764705882352942,0.5031847133757962,0.4968152866242038,0.3235294117647059
0.175668896658008,23,77,11,80,0.6764705882352942,0.5095541401273885,0.49044585987261147,0.3235294117647059
0.1757051505627977,23,76,11,81,0.6764705882352942,0.5159235668789809,0.4840764331210191,0.3235294117647059
0.1757129158314545,23,75,11,82,0.6764705882352942,0.5222929936305732,0.47770700636942676,0.3235294117647059
0.1757575657849578,23,74,11,83,0.6764705882352942,0.5286624203821656,0.4713375796178344,0.3235294117647059
0.1757615272722607,23,73,11,84,0.6764705882352942,0.535031847133758,0.46496815286624205,0.3235294117647059
0.1758261288662052,23,72,11,85,0.6764705882352942,0.5414012738853503,0.4585987261146497,0.3235294117647059
0.1759208819810893,23,71,11,86,0.6764705882352942,0.5477707006369427,0.45222929936305734,0.3235294117647059
0.1761160488575799,23,70,11,87,0.6764705882352942,0.554140127388535,0.445859872611465,0.3235294117647059
0.176226829388388,23,69,11,88,0.6764705882352942,0.5605095541401274,0.4394904458598726,0.3235294117647059
0.1762306743410482,23,68,11,89,0.6764705882352942,0.5668789808917197,0.43312101910828027,0.3235294117647059
0.1762555962230376,23,67,11,90,0.6764705882352942,0.5732484076433121,0.4267515923566879,0.3235294117647059
0.176260244370501,23,66,11,91,0.6764705882352942,0.5796178343949044,0.42038216560509556,0.3235294117647059
0.1762882144892774,23,65,11,92,0.6764705882352942,0.5859872611464968,0.4140127388535032,0.3235294117647059
0.1762967880004788,22,65,12,92,0.6470588235294118,0.5859872611464968,0.4140127388535032,0.35294117647058826
0.1763087681805362,22,64,12,93,0.6470588235294118,0.5923566878980892,0.40764331210191085,0.35294117647058826
0.1763122982972603,22,63,12,94,0.6470588235294118,0.5987261146496815,0.4012738853503185,0.35294117647058826
0.1763309608922111,21,63,13,94,0.6176470588235294,0.5987261146496815,0.4012738853503185,0.38235294117647056
0.1763608132658038,21,62,13,95,0.6176470588235294,0.6050955414012739,0.39490445859872614,0.38235294117647056
0.1763742352334028,21,61,13,96,0.6176470588235294,0.6114649681528662,0.3885350318471338,0.38235294117647056
0.1763814498006393,21,60,13,97,0.6176470588235294,0.6178343949044586,0.3821656050955414,0.38235294117647056
0.1763957869630243,21,59,13,98,0.6176470588235294,0.6242038216560509,0.37579617834394907,0.38235294117647056
0.176396419958924,21,58,13,99,0.6176470588235294,0.6305732484076433,0.36942675159235666,0.38235294117647056
0.1765671695204102,21,57,13,100,0.6176470588235294,0.6369426751592356,0.3630573248407643,0.38235294117647056
0.1765866645203376,21,56,13,101,0.6176470588235294,0.643312101910828,0.35668789808917195,0.38235294117647056
0.1766937201646533,21,55,13,102,0.6176470588235294,0.6496815286624203,0.3503184713375796,0.38235294117647056
0.176787178447523,21,54,13,103,0.6176470588235294,0.6560509554140127,0.34394904458598724,0.38235294117647056
0.1768125652685358,21,53,13,104,0.6176470588235294,0.6624203821656051,0.3375796178343949,0.38235294117647056
0.1769598834778127,21,52,13,105,0.6176470588235294,0.6687898089171974,0.33121019108280253,0.38235294117647056
0.1769670454955832,21,51,13,106,0.6176470588235294,0.6751592356687898,0.3248407643312102,0.38235294117647056
0.1770741516871159,21,50,13,107,0.6176470588235294,0.6815286624203821,0.3184713375796178,0.38235294117647056
0.1770772662755499,21,49,13,108,0.6176470588235294,0.6878980891719745,0.31210191082802546,0.38235294117647056
0.1803845443606657,21,48,13,109,0.6176470588235294,0.6942675159235668,0.3057324840764331,0.38235294117647056
0.1804651489875424,21,47,13,110,0.6176470588235294,0.7006369426751592,0.29936305732484075,0.38235294117647056
0.1812250943580317,21,46,13,111,0.6176470588235294,0.7070063694267515,0.2929936305732484,0.38235294117647056
0.1812323147965891,21,45,13,112,0.6176470588235294,0.7133757961783439,0.28662420382165604,0.38235294117647056
0.1812726425109795,21,44,13,113,0.6176470588235294,0.7197452229299363,0.2802547770700637,0.38235294117647056
0.1815543942729019,21,43,13,114,0.6176470588235294,0.7261146496815286,0.27388535031847133,0.38235294117647056
0.1817689979545723,21,42,13,115,0.6176470588235294,0.732484076433121,0.267515923566879,0.38235294117647056
0.1818088635614455,21,41,13,116,0.6176470588235294,0.7388535031847133,0.2611464968152866,0.38235294117647056
0.1824088233645994,20,41,14,116,0.5882352941176471,0.7388535031847133,0.2611464968152866,0.4117647058823529
0.1824525311499592,20,40,14,117,0.5882352941176471,0.7452229299363057,0.25477707006369427,0.4117647058823529
0.1825166228358154,20,39,14,118,0.5882352941176471,0.7515923566878981,0.2484076433121019,0.4117647058823529
