n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma,scale_pos_weight,threshold,tp,fp,tn,fn,sens,spec,fnr,fpr,constraint_violation,constraint_feasible
300,3,0.05,6.0,0.9,0.8,4.0,0.0,3.5,0.27587801218032837,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
250,2,0.05,4.0,0.8,0.8,6.0,0.0,4.0,0.27074551582336426,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
250,2,0.05,4.0,0.9,0.7,6.0,0.0,3.5,0.2640146017074585,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
300,2,0.05,4.0,0.8,0.8,4.0,0.0,4.5,0.25427085161209106,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
250,2,0.05,4.0,0.9,0.8,6.0,0.0,3.5,0.25330591201782227,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
300,2,0.05,4.0,0.8,0.7,4.0,0.0,4.5,0.251791387796402,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
250,2,0.05,4.0,0.9,0.8,4.0,0.0,3.5,0.24885118007659912,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
250,2,0.05,4.0,0.9,0.7,4.0,0.0,3.5,0.24803273379802704,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
300,2,0.05,4.0,0.8,0.7,4.0,0.0,3.5,0.240279421210289,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
250,3,0.05,4.0,0.8,0.7,4.0,0.0,3.5,0.23642465472221375,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
300,2,0.05,4.0,0.8,0.7,4.0,0.0,4.0,0.23466140031814575,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
250,3,0.05,4.0,0.9,0.8,4.0,0.0,4.0,0.233645498752594,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
300,2,0.05,4.0,0.9,0.8,6.0,0.0,3.5,0.2260340005159378,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
300,3,0.05,6.0,0.9,0.7,6.0,0.0,4.5,0.3084016740322113,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
